expression  category
mâcher le travail   [classique,travail]
ne pas mâcher ses mots  [classique]
machon-gorgeon  [classique]
mâchon gorgeon  [classique]
manger avec un lance-pierre [classique]
rester sur l’estomac    [classique]
rester sur sa faim  [classique]
se boire comme du petit-lait    [classique]
se lécher les babines   [classique]
se mettre à table   [classique]
accorder son temps- en accord avec son temps    [classique]
attendre son heure  [classique]
avoir de beaux jours devant soi [classique]
avoir du temps à perdre [classique]
avoir fait son temps    [classique]
avoir le temps  [classique]
c’est pas demain la veille que  [classique]
consacrer son temps [classique]
donner son temps    [classique]
durer trois plombes [classique]
être de son temps   [classique]
être temps  [classique]
faire beau  [classique]
faire des vacances  [classique]
faire la grasse matinée [classique]
faire quelque chose de son temps    [classique]
